Postal Code,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Day,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables
42420,261.96,2,0.0,41.9136,2016,11,8,0,0,1,0,1,0,0,1,0,0,0
42420,731.94,3,0.0,219.582,2016,11,8,0,0,1,0,1,0,0,0,1,0,0
33311,957.5775,5,0.45,-383.031,2015,10,11,0,0,0,1,1,0,0,0,0,0,1
90032,48.86,7,0.0,14.1694,2014,6,9,0,0,0,1,1,0,0,0,0,1,0
90032,1706.184,9,0.2,85.3092,2014,6,9,0,0,0,1,1,0,0,0,0,0,1
19140,71.372,2,0.3,-1.0196,2017,7,16,0,0,1,0,1,0,0,0,1,0,0
84057,1044.63,3,0.0,240.2649,2015,9,25,0,0,0,1,1,0,0,0,0,0,1
19140,124.2,3,0.2,15.525,2015,9,17,0,0,0,1,1,0,0,0,0,1,0
75080,190.92,5,0.6,-147.963,2016,12,8,1,0,0,0,0,1,0,0,0,1,0
77041,532.3992,3,0.32,-46.9764,2015,12,27,0,0,0,1,0,0,1,1,0,0,0
77041,212.058,3,0.3,-15.147,2015,12,27,0,0,0,1,0,0,1,0,1,0,0
47150,6.16,2,0.0,2.9568,2015,4,18,0,0,0,1,1,0,0,0,0,1,0
47150,89.99,1,0.0,17.0981,2015,4,18,0,0,0,1,1,0,0,0,1,0,0
12180,319.41,5,0.1,7.098,2016,6,17,1,0,0,0,1,0,0,0,1,0,0
90004,79.76,4,0.0,22.3328,2015,11,24,0,0,0,1,1,0,0,0,0,1,0
60610,213.115,5,0.3,-15.2225,2015,4,30,0,0,0,1,0,0,1,0,1,0,0
38109,831.936,8,0.2,-114.3912,2015,4,26,0,0,0,1,1,0,0,0,1,0,0
38109,97.04,2,0.2,1.213,2015,4,26,0,0,0,1,1,0,0,0,0,1,0
77041,9.708,3,0.6,-5.8248,2017,12,9,1,0,0,0,0,1,0,0,0,1,0
77070,19.3,5,0.6,-14.475,2014,11,26,0,0,1,0,1,0,0,0,0,1,0
29203,301.96,2,0.0,33.2156,2017,5,28,0,0,1,0,1,0,0,0,1,0,0
55407,53.34,3,0.0,16.5354,2015,1,31,0,0,1,0,1,0,0,0,0,1,0
10009,96.53,7,0.0,40.5426,2017,11,9,0,0,1,0,0,0,1,0,0,1,0
80013,102.36,3,0.2,-3.8385,2015,11,13,0,0,0,1,1,0,0,0,0,1,0
10035,41.96,2,0.0,10.9096,2017,12,25,0,0,0,1,0,1,0,0,0,1,0
98103,787.53,3,0.0,165.3813,2015,3,2,0,0,0,1,1,0,0,0,0,0,1
19805,47.04,3,0.0,18.3456,2016,6,12,1,0,0,0,1,0,0,0,0,1,0
77041,600.558,3,0.3,-8.5794,2014,12,26,0,0,1,0,0,0,1,0,1,0,0
61701,617.7,6,0.5,-407.682,2014,9,20,0,0,0,1,1,0,0,0,0,0,1
90004,81.424,2,0.2,-9.1602,2016,11,6,0,0,1,0,0,0,1,0,1,0,0
90004,238.56,3,0.0,26.2416,2016,11,6,0,0,1,0,0,0,1,0,0,1,0
95661,43.12,14,0.0,20.6976,2016,10,13,0,0,0,1,1,0,0,0,0,1,0
19140,82.8,2,0.2,10.35,2016,9,5,0,0,1,0,0,1,0,0,0,1,0
43055,93.888,4,0.2,12.9096,2014,10,22,0,0,0,1,0,0,1,0,0,1,0
98115,457.568,2,0.2,51.4764,2014,3,1,0,0,1,0,1,0,0,0,1,0,0
78207,1740.06,9,0.3,-24.858,2014,9,8,0,0,0,1,1,0,0,0,1,0,0
90004,340.144,7,0.2,21.259,2014,8,5,0,0,0,1,1,0,0,0,1,0,0
43055,396.802,7,0.3,-11.3372,2015,11,21,0,0,1,0,1,0,0,0,1,0,0
10035,899.136,4,0.2,112.392,2015,10,12,1,0,0,0,0,0,1,1,0,0,0
10035,626.352,3,0.2,46.9764,2015,10,12,1,0,0,0,0,0,1,1,0,0,0
80219,218.75,2,0.5,-161.875,2014,8,3,1,0,0,0,1,0,0,0,0,0,1
37064,35.168,7,0.2,9.6712,2017,6,3,0,0,0,1,0,1,0,0,0,1,0
44256,452.45,5,0.5,-244.323,2015,1,2,0,0,0,1,0,1,0,1,0,0,0
43017,72.704,4,0.2,19.0848,2015,12,24,1,0,0,0,1,0,0,0,0,1,0
48227,622.45,5,0.0,136.939,2015,8,9,0,0,0,1,0,1,0,0,0,0,1
38401,161.568,2,0.2,-28.2744,2015,2,28,0,0,0,1,1,0,0,0,1,0,0
38401,389.696,8,0.2,43.8408,2015,2,28,0,0,0,1,1,0,0,0,1,0,0
33614,233.86,2,0.45,-102.048,2017,4,7,0,0,0,1,0,0,1,0,0,0,1
33614,620.6145,3,0.45,-248.2458,2017,4,7,0,0,0,1,0,0,1,0,0,0,1
33614,258.072,3,0.2,0.0,2017,4,7,0,0,0,1,0,0,1,0,0,1,0
60610,419.68,5,0.6,-356.728,2016,6,4,0,0,1,0,1,0,0,0,0,1,0
60610,11.688,3,0.6,-4.6752,2016,6,4,0,0,1,0,1,0,0,0,0,1,0
60610,177.225,5,0.5,-120.513,2016,6,4,0,0,1,0,1,0,0,0,0,0,1
60610,4.044,3,0.6,-2.8308,2016,6,4,0,0,1,0,1,0,0,0,0,1,0
94109,321.568,2,0.2,28.1372,2016,12,10,0,0,1,0,1,0,0,0,1,0,0
60623,12.132,9,0.6,-8.4924,2015,11,28,0,0,0,1,0,1,0,0,0,1,0
94109,5.28,3,0.0,2.3232,2015,7,30,1,0,0,0,1,0,0,0,0,1,0
90004,1038.84,5,0.2,51.942,2015,11,2,0,0,0,1,1,0,0,0,0,0,1
43229,86.97,3,0.5,-48.7032,2016,11,20,0,0,1,0,0,0,1,1,0,0,0
80906,300.416,8,0.2,78.8592,2014,12,26,1,0,0,0,0,1,0,0,0,1,0
