Postal Code,Sales,Quantity,Discount,Profit,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables,Order Date,Week,Quarter,Sales_Lag_1,Sales_Lag_2,Sales_Lag_3,Sales_Rolling_Mean_3,Sales_Rolling_Mean_7
84057,1044.63,3,0.0,240.2649,0,0,0,1,1,0,0,0,0,0,1,2015-09-25,39,3,71.372,1706.184,48.86,940.7286666666668,688.9319285714286
19140,124.2,3,0.2,15.525,0,0,0,1,1,0,0,0,0,1,0,2015-09-17,38,3,1044.63,71.372,1706.184,413.4006666666667,669.2519285714286
75080,190.92,5,0.6,-147.963,1,0,0,0,0,1,0,0,0,1,0,2016-12-08,49,4,124.2,1044.63,71.372,453.25,591.9633571428573
77041,532.3992,3,0.32,-46.9764,0,0,0,1,0,0,1,1,0,0,0,2015-12-27,52,4,190.92,124.2,1044.63,282.5064,531.2236
77041,212.058,3,0.3,-15.147,0,0,0,1,0,0,1,0,1,0,0,2015-12-27,52,4,532.3992,190.92,124.2,311.7924,554.5376
47150,6.16,2,0.0,2.9568,0,0,0,1,1,0,0,0,0,1,0,2015-04-18,16,2,212.058,532.3992,190.92,250.2057333333333,311.6770285714286
47150,89.99,1,0.0,17.0981,0,0,0,1,1,0,0,0,1,0,0,2015-04-18,16,2,6.16,212.058,532.3992,102.73599999999999,314.33674285714284
12180,319.41,5,0.1,7.098,1,0,0,0,1,0,0,0,1,0,0,2016-06-17,24,2,89.99,6.16,212.058,138.52,210.7338857142857
90004,79.76,4,0.0,22.3328,0,0,0,1,1,0,0,0,0,1,0,2015-11-24,48,4,319.41,89.99,6.16,163.0533333333333,204.38531428571426
60610,213.115,5,0.3,-15.2225,0,0,0,1,0,0,1,0,1,0,0,2015-04-30,18,2,79.76,319.41,89.99,204.09500000000003,207.55602857142858
38109,831.936,8,0.2,-114.3912,0,0,0,1,1,0,0,0,1,0,0,2015-04-26,17,2,213.115,79.76,319.41,374.93699999999995,250.347
38109,97.04,2,0.2,1.213,0,0,0,1,1,0,0,0,0,1,0,2015-04-26,17,2,831.936,213.115,79.76,380.69699999999995,233.91585714285716
77041,9.708,3,0.6,-5.8248,1,0,0,0,0,1,0,0,0,1,0,2017-12-09,49,4,97.04,831.936,213.115,312.89466666666664,234.4227142857143
77070,19.3,5,0.6,-14.475,0,0,1,0,1,0,0,0,0,1,0,2014-11-26,48,4,9.708,97.04,831.936,42.01599999999996,224.32414285714285
29203,301.96,2,0.0,33.2156,0,0,1,0,1,0,0,0,1,0,0,2017-05-28,21,2,19.3,9.708,97.04,110.32266666666662,221.83128571428574
55407,53.34,3,0.0,16.5354,0,0,1,0,1,0,0,0,0,1,0,2015-01-31,5,1,301.96,19.3,9.708,124.8666666666666,218.05700000000002
10009,96.53,7,0.0,40.5426,0,0,1,0,0,0,1,0,0,1,0,2017-11-09,45,4,53.34,301.96,19.3,150.60999999999996,201.40200000000002
80013,102.36,3,0.2,-3.8385,0,0,0,1,1,0,0,0,0,1,0,2015-11-13,46,4,96.53,53.34,301.96,84.07666666666664,97.17685714285713
10035,41.96,2,0.0,10.9096,0,0,0,1,0,1,0,0,0,1,0,2017-12-25,52,4,102.36,96.53,53.34,80.28333333333329,89.30828571428572
98103,787.53,3,0.0,165.3813,0,0,0,1,1,0,0,0,0,0,1,2015-03-02,10,1,41.96,102.36,96.53,310.6166666666666,200.4257142857143
19805,47.04,3,0.0,18.3456,1,0,0,0,1,0,0,0,0,1,0,2016-06-12,23,2,787.53,41.96,102.36,292.1766666666666,204.38857142857142
77041,600.558,3,0.3,-8.5794,0,0,1,0,0,0,1,0,1,0,0,2014-12-26,52,4,47.04,787.53,41.96,478.3759999999999,247.04542857142854
61701,617.7,6,0.5,-407.682,0,0,0,1,1,0,0,0,0,0,1,2014-09-20,38,3,600.558,47.04,787.53,421.7659999999999,327.6682857142857
90004,81.424,2,0.2,-9.1602,0,0,1,0,0,0,1,0,1,0,0,2016-11-06,44,4,617.7,600.558,47.04,433.2273333333333,325.51028571428566
90004,238.56,3,0.0,26.2416,0,0,1,0,0,0,1,0,0,1,0,2016-11-06,44,4,81.424,617.7,600.558,312.5613333333333,344.96742857142857
95661,43.12,14,0.0,20.6976,0,0,0,1,1,0,0,0,0,1,0,2016-10-13,41,4,238.56,81.424,617.7,121.03466666666662,345.1331428571429
